x,y,z,latitude,longitude,speed,sound,light
-4.2648773,7.9761353,-1.7075195,23.54567318,87.28209403,0.0,75.5818061308623,261.0
-0.47714233,10.09256,-2.1978912,23.54567318,87.28209403,0.0,75.5818061308623,261.0
-4.3394165,9.379288,-0.61546326,23.54567318,87.28209403,0.0,75.5818061308623,261.0
-2.5059814,9.393158,-2.157425,23.54567318,87.28209403,0.0,75.5818061308623,261.0
-2.4285278,9.247498,0.04701233,23.54567318,87.28209403,0.0,75.5818061308623,261.0
-2.3701172,10.061325,-1.4214325,23.54567318,87.28209403,0.0,75.5818061308623,259.0
-2.497223,9.615936,-1.1605377,23.54567318,87.28209403,0.0,75.5818061308623,259.0
-1.7157135,9.6276245,-1.0913696,23.54567318,87.28209403,0.0,75.5818061308623,259.0
-3.13562,9.353592,-1.348114,23.54567318,87.28209403,0.0,75.5818061308623,259.0
-1.8242493,9.097504,-1.2956848,23.54567318,87.28209403,0.0,75.5818061308623,259.0
-3.6035614,8.098373,-2.2362976,23.54567318,87.28209403,0.0,75.5818061308623,259.0
-0.5635681,9.558502,-3.398346,23.54567318,87.28209403,0.0,78.11619430075596,259.0
-5.179764,8.425049,-2.911972,23.54567318,87.28209403,0.0,78.11619430075596,259.0
-0.006210327,9.54274,-0.9262543,23.54567318,87.28209403,0.0,78.11619430075596,259.0
-5.207306,8.545349,-1.6416016,23.54567318,87.28209403,0.0,78.11619430075596,259.0
-0.10247803,9.22789,-4.6251526,23.54567318,87.28209403,0.0,78.11619430075596,255.0
-4.01416,7.8371735,-1.7395935,23.54567318,87.28209403,0.0,78.11619430075596,255.0
-0.74760437,10.2439575,-1.7957611,23.54567318,87.28209403,0.0,78.11619430075596,255.0
-2.8725739,9.626068,-2.1929474,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-2.0841827,7.930771,-2.941391,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-2.4165344,8.593903,-2.5476074,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-1.9726715,9.454575,-2.9559326,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-2.5203552,8.722214,-2.3613892,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-2.2712097,9.010925,-1.0577393,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-3.2101898,9.243332,-0.5427551,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-2.2803955,9.725906,-2.671463,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-4.608963,7.5818176,-2.454193,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-0.074920654,10.364517,-0.31481934,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-4.533249,9.544708,-2.4091797,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-1.0392761,9.551376,-1.4046326,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-4.409317,8.151627,-1.7755127,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-0.46600342,10.895142,-1.7792969,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-4.0742035,8.836853,-1.5748444,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-1.944809,9.177048,-1.497757,23.54573713,87.28197129,0.0,78.11619430075596,255.0
-3.6243134,8.80806,-1.0162506,23.54573713,87.28197129,0.0,77.67880195568291,255.0
-1.7037354,9.044067,-2.2525177,23.54573713,87.28197129,0.0,77.67880195568291,255.0
-2.9284668,8.921722,-1.9120789,23.54573713,87.28197129,0.0,77.67880195568291,255.0
-2.528183,9.290665,-0.44462585,23.54573713,87.28197129,0.0,77.67880195568291,255.0
-2.3728485,8.916687,-1.3981628,23.54573713,87.28197129,0.0,77.67880195568291,255.0
-3.1068726,8.723816,-2.139038,23.54573713,87.28197129,0.0,77.67880195568291,255.0
-1.7292938,9.64917,-1.6576385,23.54573713,87.28197129,0.0,77.67880195568291,255.0
-2.97583,9.294479,-0.3936615,23.54573713,87.28197129,0.0,77.67880195568291,255.0
-1.7957306,8.457336,-2.6542969,23.54573713,87.28197129,0.0,77.67880195568291,255.0
-3.6402283,8.311295,-0.7993469,23.54573713,87.28197129,0.0,77.67880195568291,255.0
-1.4588928,9.846252,-1.0362244,23.54573713,87.28197129,0.0,77.67880195568291,255.0
-1.9007568,10.467148,-2.8224792,23.54573713,87.28197129,0.0,77.67880195568291,257.0
-3.037857,7.4879,-3.1961365,23.54573713,87.28197129,0.0,77.67880195568291,257.0
-1.4326324,9.157608,-2.3156738,23.54573713,87.28197129,0.0,77.67880195568291,257.0
-3.1734924,8.580124,-3.4961243,23.54573713,87.28197129,0.0,77.67880195568291,257.0
-1.8677521,8.73233,-2.0053406,23.54573713,87.28197129,0.0,77.67880195568291,257.0
-2.9993134,8.960983,-1.6262665,23.54573713,87.28197129,0.0,77.67880195568291,257.0
-2.6562653,9.752304,-0.7581024,23.54573713,87.28197129,0.0,77.67880195568291,257.0
-2.3564758,9.260315,-1.7454071,23.54573713,87.28197129,0.0,77.67880195568291,257.0
-3.738327,8.26973,-1.9334869,23.54573713,87.28197129,0.0,77.67880195568291,257.0
-1.3663025,9.646622,-1.5794525,23.54573713,87.28197129,0.0,77.67880195568291,257.0
-4.007721,9.27977,-1.959549,23.54573713,87.28197129,0.0,77.67880195568291,257.0
-1.542633,9.714706,-0.8375397,23.54573713,87.28197129,0.0,77.67880195568291,257.0
